Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 FORMAÇÃO DOCENTE EM PRÁTICAS EDUCATIVAS ,20001010053P3,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,-,-,A,-,EDUCAÇÃO
Currículo e Gestão da Escola Básica,15001016089P3,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,EDUCAÇÃO
"Currículo, linguagens e inovações pedagógicas.",28001010091P8,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,-,-,4,-,EDUCAÇÃO
DOCÊNCIA E GESTÃO EDUCACIONAL,33110018003P5,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,SP,-,-,3,-,EDUCAÇÃO
EDUCAÇAO,16003012013P2,UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO,3,-,-,-,EDUCAÇÃO
EDUCAÇÃO,41019016001P5,UNIVERSIDADE DO PLANALTO CATARINENSE,UNIPLAC-SC,SC,3,-,-,-,EDUCAÇÃO
EDUCAÇÃO,42001013001P5,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,6,6,-,-,EDUCAÇÃO
EDUCAÇÃO,42002010001P5,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4,4,-,-,EDUCAÇÃO
EDUCAÇÃO,42003016014P2,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,5,5,-,-,EDUCAÇÃO
EDUCAÇÃO,42004012021P5,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,4,-,-,-,EDUCAÇÃO
EDUCAÇÃO,42005019001P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,RS,6,6,-,-,EDUCAÇÃO
EDUCAÇÃO,42007011003P6,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,7,7,-,-,EDUCAÇÃO
EDUCAÇÃO,42008018008P4,UNIVERSIDADE DE CAXIAS DO SUL,UCS,RS,4,4,-,-,EDUCAÇÃO
EDUCAÇÃO,42009014002P2,FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO,FUPF,RS,5,5,-,-,EDUCAÇÃO
EDUCAÇÃO,42019010009P2,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,RS,4,4,-,-,EDUCAÇÃO
EDUCAÇÃO,42020018006P4,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,RS,4,4,-,-,EDUCAÇÃO
